Date,Open,High,Low,Close*,Adj. close**,Volume
5-Nov-99,"1,362.64","1,387.48","1,362.64","1,370.23","1,370.23","1,007,300,000"
4-Nov-99,"1,354.93","1,369.41","1,354.93","1,362.64","1,362.64","981,700,000"
3-Nov-99,"1,347.74","1,360.33","1,347.74","1,354.93","1,354.93","914,400,000"
2-Nov-99,"1,354.12","1,369.32","1,346.41","1,347.74","1,347.74","904,500,000"
1-Nov-99,"1,362.93","1,367.30","1,354.05","1,354.12","1,354.12","861,000,000"
29-Oct-99,"1,342.44","1,373.17","1,342.44","1,362.93","1,362.93","1,120,500,000"
28-Oct-99,"1,296.71","1,342.47","1,296.71","1,342.44","1,342.44","1,135,100,000"
27-Oct-99,"1,281.91","1,299.39","1,280.48","1,296.71","1,296.71","950,100,000"
26-Oct-99,"1,293.63","1,303.46","1,281.86","1,281.91","1,281.91","878,300,000"
25-Oct-99,"1,301.65","1,301.68","1,286.07","1,293.63","1,293.63","777,000,000"
22-Oct-99,"1,283.61","1,308.81","1,283.61","1,301.65","1,301.65","959,200,000"
21-Oct-99,"1,289.43","1,289.43","1,265.61","1,283.61","1,283.61","1,012,500,000"
20-Oct-99,"1,261.32","1,289.44","1,261.32","1,289.43","1,289.43","928,800,000"
19-Oct-99,"1,254.13","1,279.32","1,254.13","1,261.32","1,261.32","905,700,000"
18-Oct-99,"1,247.41","1,254.13","1,233.70","1,254.13","1,254.13","818,700,000"
15-Oct-99,"1,283.42","1,283.42","1,245.39","1,247.41","1,247.41","912,600,000"
14-Oct-99,"1,285.55","1,289.63","1,267.62","1,283.42","1,283.42","892,300,000"
13-Oct-99,"1,313.04","1,313.04","1,282.80","1,285.55","1,285.55","821,500,000"
12-Oct-99,"1,335.21","1,335.21","1,311.80","1,313.04","1,313.04","778,300,000"
11-Oct-99,"1,336.02","1,339.23","1,332.96","1,335.21","1,335.21","655,900,000"
8-Oct-99,"1,317.64","1,336.61","1,311.88","1,336.02","1,336.02","897,300,000"
